scriptid,name,scriptid_0
CUSTOMRECORD_TWC_AGREEMENT,Customer,CUSTOMRECORD_TWC_AGREEMENT
CUSTOMRECORD_TWC_CAPACITY_REVIEW,Company Reviewed By,CUSTOMRECORD_TWC_CAPACITY_REVIEW
CUSTOMRECORD_TWC_CUST_PRES,Customer,CUSTOMRECORD_TWC_CUST_PRES
CUSTOMRECORD_TWC_ELP_SVC,Tested By,CUSTOMRECORD_TWC_ELP_SVC
CUSTOMRECORD_TWC_EQUIP,Customer,CUSTOMRECORD_TWC_EQUIP
CUSTOMRECORD_TWC_FAC_SVC,Serviced By,CUSTOMRECORD_TWC_FAC_SVC
CUSTOMRECORD_TWC_GEN,Generator Owner,CUSTOMRECORD_TWC_GEN
CUSTOMRECORD_TWC_GEN_SVC,Serviced By,CUSTOMRECORD_TWC_GEN_SVC
CUSTOMRECORD_TWC_INFRA,Foundation Contractor,CUSTOMRECORD_TWC_INFRA
CUSTOMRECORD_TWC_INFRA,Insurance Ownership,CUSTOMRECORD_TWC_INFRA
CUSTOMRECORD_TWC_INFRA,O&M Ownership,CUSTOMRECORD_TWC_INFRA
CUSTOMRECORD_TWC_INFRA,Infrastructure Ownership,CUSTOMRECORD_TWC_INFRA
CUSTOMRECORD_TWC_INSP,Inspected by Company,CUSTOMRECORD_TWC_INSP
CUSTOMRECORD_TWC_KEY,Company,CUSTOMRECORD_TWC_KEY
CUSTOMRECORD_TWC_LAND,Landlord Name,CUSTOMRECORD_TWC_LAND
CUSTOMRECORD_TWC_PLAN,Consultant,CUSTOMRECORD_TWC_PLAN
CUSTOMRECORD_TWC_PLAN,Planning Designer,CUSTOMRECORD_TWC_PLAN
CUSTOMRECORD_TWC_PROF,Company,CUSTOMRECORD_TWC_PROF
CUSTOMRECORD_TWC_PWR_SPLY,Power Suppler,CUSTOMRECORD_TWC_PWR_SPLY
CUSTOMRECORD_TWC_PWR_USR,Customer,CUSTOMRECORD_TWC_PWR_USR
CUSTOMRECORD_TWC_ROW,Landlord Name,CUSTOMRECORD_TWC_ROW
CUSTOMRECORD_TWC_SAF,Primary Contractor,CUSTOMRECORD_TWC_SAF
CUSTOMRECORD_TWC_SAF,Customer,CUSTOMRECORD_TWC_SAF
CUSTOMRECORD_TWC_SRF,Customer,CUSTOMRECORD_TWC_SRF
CUSTOMRECORD_TWC_TRACK_KEY,Company,CUSTOMRECORD_TWC_TRACK_KEY
CUSTOMRECORD_TWC_VENDCUST_LINK,Customer,CUSTOMRECORD_TWC_VENDCUST_LINK
