RADIX company_id,FILE TYPE,Blacknight Location,Blacknight Filename,File Suffix,Transfer Company Doc,Target Site Destination Folder,Target Site File Name,name,description
4,Method Statement,/var/www/html/public/uploads/companies/4,27,.pdf,TRANSFER,,MS_Air_1_v1.0 - LOS Survey.pdf,MS_Air_1_v1.0 - LOS Survey.pdf,NULL
4,Method Statement,/var/www/html/public/uploads/companies/4,29,.pdf,TRANSFER,,MS_Air_2_v1.0 - Install Steelwork.pdf,MS_Air_2_v1.0 - Install Steelwork.pdf,NULL
4,Method Statement,/var/www/html/public/uploads/companies/4,30,.pdf,TRANSFER,,MS_Air_3_v1.0 - Link Install.pdf,MS_Air_3_v1.0 - Link Install.pdf,NULL
4,Method Statement,/var/www/html/public/uploads/companies/4,31,.pdf,TRANSFER,,MS_Air_4_v1.0 - ODU Fault.pdf,MS_Air_4_v1.0 - ODU Fault.pdf,NULL
4,Method Statement,/var/www/html/public/uploads/companies/4,32,.pdf,TRANSFER,,MS_Air_5_v1.0 - Pan Antenna.pdf,MS_Air_5_v1.0 - Pan Antenna.pdf,NULL
4,H&S Plan,/var/www/html/public/uploads/companies/4,34,.pdf,TRANSFER,,H&S_Air_1_v1.0 - H&S Statement.pdf,H&S_Air_1_v1.0 - H&S Statement.pdf,NULL
49,Method Statement,/var/www/html/public/uploads/companies/49,2756,.pdf,TRANSFER,,Link Swap - MS.pdf,Link Swap - MS.pdf,Link Swap MS
60,H&S Plan,/var/www/html/public/uploads/companies/60,64,.pdf,TRANSFER,,H&S_SPE_1_v1.0 - Health and Safety Plan.pdf,H&S_SPE_1_v1.0 - Health and Safety Plan.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,65,.pdf,TRANSFER,,MS_SPE_1_v1.0 - BSSM.pdf,MS_SPE_1_v1.0 - BSSM.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,66,.pdf,TRANSFER,,MS_SPE_2_v1.0 - LOS.pdf,MS_SPE_2_v1.0 - LOS.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,67,.pdf,TRANSFER,,MS_SPE_3_v1.0 - MEWP LOS.pdf,MS_SPE_3_v1.0 - MEWP LOS.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,68,.pdf,TRANSFER,,MS_SPE_4_v1.0 - Climb Down.pdf,MS_SPE_4_v1.0 - Climb Down.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,69,.pdf,TRANSFER,,MS_SPE_5_v1.0 - Pan Dish.pdf,MS_SPE_5_v1.0 - Pan Dish.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,70,.pdf,TRANSFER,,MS_SPE_6_v1.0 - Sweep Test.pdf,MS_SPE_6_v1.0 - Sweep Test.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,71,.pdf,TRANSFER,,MS_SPE_7_v1.0 - ODU Fault.pdf,MS_SPE_7_v1.0 - ODU Fault.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,72,.pdf,TRANSFER,,MS_SPE_8_v1.0 - Install Steelwork.pdf,MS_SPE_8_v1.0 - Install Steelwork.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,73,.pdf,TRANSFER,,MS_SPE_9_v1.0 - Link Install.pdf,MS_SPE_9_v1.0 - Link Install.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,74,.pdf,TRANSFER,,MS_SPE_10_v1.0 - Remove Antenna.pdf,MS_SPE_10_v1.0 - Remove Antenna.pdf,NULL
60,Method Statement,/var/www/html/public/uploads/companies/60,75,.pdf,TRANSFER,,MS_SPE_11_v1.0 - Replace Antenna.pdf,MS_SPE_11_v1.0 - Replace Antenna.pdf,NULL
67,H&S Plan,/var/www/html/public/uploads/companies/67,76,.pdf,TRANSFER,,H&S_TC_1_v1.0 - Health & Safety Plan.pdf,H&S_TC_1_v1.0 - Health & Safety Plan.pdf,NULL
67,Method Statement,/var/www/html/public/uploads/companies/67,77,.pdf,TRANSFER,,MS_TC_1_v1.0 - Civil Maintenance.pdf,MS_TC_1_v1.0 - Civil Maintenance.pdf,NULL
67,Method Statement,/var/www/html/public/uploads/companies/67,78,.pdf,TRANSFER,,MS_TC_2_v1.0 - Install Antenna Steelwork.pdf,MS_TC_2_v1.0 - Install Antenna Steelwork.pdf,NULL
67,Method Statement,/var/www/html/public/uploads/companies/67,79,.pdf,TRANSFER,,MS_TC_3_v1.0 - Tower Climbdown.pdf,MS_TC_3_v1.0 - Tower Climbdown.pdf,NULL
4,Method Statement,/var/www/html/public/uploads/companies/4,207,.pdf,TRANSFER,,MS_Air_7_v1.0 - Internal Works.pdf,MS_Air_7_v1.0 - Internal Works.pdf,Internal works - radios/switches
