Site ID,Site Name,Blackknight Location,Blacknight Filename,Target Site Destination Folder,Target Site File Name
TLK7301,Abbeyfeale,/var/www/html/public/uploads/sites/TLK7301/Access/,TC016_TLK7301 Site Access Info Abbeyfeale.pdf,,TC016_TLK7301 Site Access Info Abbeyfeale.pdf
TCK5002,Aherla,/var/www/html/public/uploads/sites/TCK5002/Access/,TC016_TCK5002 Site Access Info Aherla.pdf,,TC016_TCK5002 Site Access Info Aherla.pdf
TKY6028,Anablaha,/var/www/html/public/uploads/sites/Anablaha - TKY6028/Access/,TC016_TKY6028 Site Access Info Anablaha.pdf,,TC016_TKY6028 Site Access Info Anablaha.pdf
TGY5003,Ardrahan,/var/www/html/public/uploads/sites/TGY5003/Access/,TC016_TGY5003 Site Access Info Ardrahan.pdf,,TC016_TGY5003 Site Access Info Ardrahan.pdf
TWW3001,Arklow,/var/www/html/public/uploads/sites/Arklow - TWW3001/Access/,TC016_TWW3001 Site Access Info Arklow.pdf,,TC016_TWW3001 Site Access Info Arklow.pdf
TDL2001,Arranmore,/var/www/html/public/uploads/sites/Arranmore - TDL2001/Access/,TC016_TDL2001 Site Access Info Arranmore.pdf,,TC016_TDL2001 Site Access Info Arranmore.pdf
TCN5006,Arvanagh,/var/www/html/public/uploads/sites/TCN5006/Access/,TC016_TCN5006 Site Access Info Arvanagh.pdf,,TC016_TCN5006 Site Access Info Arvanagh.pdf
TMH6457,Athboy,/var/www/html/public/uploads/sites/Athboy - TMH6057/Access/,TC016_TMH6057 Site Access Info Athboy.pdf,,TC016_TMH6057 Site Access Info Athboy.pdf
TLK5007,Athea,/var/www/html/public/uploads/sites/TLK5007/Access/,TC016_TLK5007 Site Access Info Athea.pdf,,TC016_TLK5007 Site Access Info Athea.pdf
TGY5008,Athenry,/var/www/html/public/uploads/sites/TGY5008/Access/,TC016_TGY5008 Site Access Info Athenry.pdf,,TC016_TGY5008 Site Access Info Athenry.pdf
TWH4001,Athlone HPO,/var/www/html/public/uploads/sites/Athlone HPO - TWH4001/Access/,TC016_AT  Site Access Info Athlone HPO (Tower Access).pdf,,TC016_AT  Site Access Info Athlone HPO (Tower Access).pdf
TGY6318,Aughrim,/var/www/html/public/uploads/sites/Aughrim - TGY6018/Access/,TC016_TGY6018 Site Access Info Aughrim.pdf,,TC016_TGY6018 Site Access Info Aughrim.pdf
TMO6047,Ayle,/var/www/html/public/uploads/sites/Ayle - TMO6047/Access/,TC016_TMO6047 Site Access Info Ayle.pdf,,TC016_TMO6047 Site Access Info Ayle.pdf
TMO5012,Balla,/var/www/html/public/uploads/sites/TMO5012/Access/,TC016_TMO5012 Site Access Info Balla.pdf,,TC016_TMO5012 Site Access Info Balla.pdf
TMO1001,Ballina,/var/www/html/public/uploads/sites/Ballina - TMO1001/Access/,TC016_TMO1001 Site Access Info Ballina.pdf,,TC016_TMO1001 Site Access Info Ballina.pdf
TWX5030,Ballinaboola,/var/www/html/public/uploads/sites/TWX5030/Access/,TC016_TWX5030 Site Access Info Ballinaboola.pdf,,TC016_TWX5030 Site Access Info Ballinaboola.pdf
TCK6005,Ballinaclashet,/var/www/html/public/uploads/sites/Ballinaclashet - TCK6005/Access/,TC016_TCK6005 Site Access Info Ballinaclashet.pdf,,TC016_TCK6005 Site Access Info Ballinaclashet.pdf
TCK5018,Ballinhassig,/var/www/html/public/uploads/sites/TCK5018/Access/,TC016_TCK5018 Site Access Info Ballinhassig.pdf,,TC016_TCK5018 Site Access Info Ballinhassig.pdf
TMO2002,Ballinrobe,/var/www/html/public/uploads/sites/Ballinrobe - TMO2002/Access/,TC016_TMO2002 Site Access Info Ballinrobe.pdf,,TC016_TMO2002 Site Access Info Ballinrobe.pdf
