Site ID,Site Name,Blackknight Location,Filename,Target Site Destination Folder,Target Site File Name
TDL2001,Arranmore,/var/www/html/public/uploads/sites/Arranmore - TDL2001/Licence Maps/,Arranmore - TDL2001 - TCF01 - Rev 1.0.pdf,,Arranmore - TDL2001 - TCF01 - Rev 1.0.pdf
TMO1001,Ballina,/var/www/html/public/uploads/sites/Ballina - TMO1001/Licence Maps/,Ballina - TMO1001 - TCF01 - Rev 1.0.pdf,,Ballina - TMO1001 - TCF01 - Rev 1.0.pdf
TMO2002,Ballinrobe,/var/www/html/public/uploads/sites/Ballinrobe - TMO2002/Licence Maps/,Ballinrobe - TMO2002 - TCF01 - Rev 1.0.pdf,,Ballinrobe - TMO2002 - TCF01 - Rev 1.0.pdf
TWW1002,Ballyguile,/var/www/html/public/uploads/sites/Ballyguile 52m - TWW1002/Licence Maps/,Ballyguile - TWW1002 - TCF01 - Rev 1.0.pdf,,Ballyguile - TWW1002 - TCF01 - Rev 1.0.pdf
TLK1003,Ballyhoura,/var/www/html/public/uploads/sites/Ballyhoura - TLK1003/Licence Maps/,Ballyhoura - TLK1003 - TCF01 - Rev 1.0.pdf,,Ballyhoura - TLK1003 - TCF01 - Rev 1.0.pdf
TKK1004,Ballyspellan,/var/www/html/public/uploads/sites/Ballyspellan - TKK1004/Licence Maps/,Ballyspellan - TKK1004 - TCF01 - Rev 1.0.pdf,,Ballyspellan - TKK1004 - TCF01 - Rev 1.0.pdf
TDL1005,Barnesmore,/var/www/html/public/uploads/sites/Barnesmore - TDL1005/Licence Maps/,Barnesmore - TDL1005 - TCF01 - Rev 1.0.pdf,,Barnesmore - TDL1005 - TCF01 - Rev 1.0.pdf
TCE2003,Behagh,/var/www/html/public/uploads/sites/Behagh - TCE2003/Licence Maps/,Behagh - TCE2003 - TCF01 - Rev 1.0.pdf,,Behagh - TCE2003 - TCF01 - Rev 1.0.pdf
TMO2004,Belmullet,/var/www/html/public/uploads/sites/Belmullet - TMO2004/Licence Maps/,Belmullet - TMO2004 - TCF01 - Rev 1.0.pdf,,Belmullet - TMO2004 - TCF01 - Rev 1.0.pdf
TCE1006,Ben Dash,/var/www/html/public/uploads/sites/Ben Dash - TCE1006/Licence Maps/,Ben Dash - TCE1006 - TCF01 - Rev 1.0.pdf,,Ben Dash - TCE1006 - TCF01 - Rev 1.0.pdf
TSO1007,Bralee,/var/www/html/public/uploads/sites/Bralee - TSO1007/Licence Maps/,Bralee - TSO1007 - TCF01 - Rev 1.0.pdf,,Bralee - TSO1007 - TCF01 - Rev 1.0.pdf
TDL2006,Bunbeg,/var/www/html/public/uploads/sites/Bunbeg - TDL2006/Licence Maps/,Bunbeg - TDL2006 - TCF01 - Rev 1.0.pdf,,Bunbeg - TDL2006 - TCF01 - Rev 1.0.pdf
